Test,State,Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other
CSP,Hawaii,2019,511,339,66.34,1,0,0,0.2,74,42,56.76,14.48,231,158,68.4,45.21,55,43,78.18,10.76,19,6,31.58,3.72,0,0,0,0,124,86,69.35,24.27,0,0,0,0,159,104,65.41,31.12,0,0,0,0,21,13,61.9,4.11,72,47,65.28,14.09,12,10,83.33,2.35,8,2,25,1.57,0,0,0,0,44,31,70.45,8.61,0,0,0,0,352,235,66.76,68.88,1,0,0,0.2,53,29,54.72,10.37,159,111,69.81,31.12,43,33,76.74,8.41,11,4,36.36,2.15,0,0,0,0,80,55,68.75,15.66,0,0,0,0
CSP,Georgia,2017,1942,1503,77.39,186,101,54.3,9.58,166,95,57.23,8.55,544,462,84.93,28.01,928,750,80.82,47.79,4,0,0,0.21,4,0,0,0.21,76,64,84.21,3.91,1,0,0,0.05,495,363,73.33,25.49,68,36,52.94,3.5,44,20,45.45,2.27,171,149,87.13,8.81,187,139,74.33,9.63,1,0,0,0.05,1,0,0,0.05,18,15,83.33,0.93,1,0,0,0.05,1447,1140,78.78,74.51,118,65,55.08,6.08,122,75,61.48,6.28,373,313,83.91,19.21,741,611,82.46,38.16,3,0,0,0.15,3,0,0,0.15,58,49,84.48,2.99,0,0,0,0
CSP,Georgia,2018,2857,2048,71.68,325,149,45.85,11.38,334,199,59.58,11.69,710,577,81.27,24.85,1314,990,75.34,45.99,5,2,40,0.18,4,0,0,0.14,100,82,82,3.5,0,0,0,0,801,536,66.92,28.04,134,58,43.28,4.69,102,50,49.02,3.57,235,192,81.7,8.23,282,201,71.28,9.87,1,0,0,0.04,1,0,0,0.04,29,21,72.41,1.02,0,0,0,0,2056,1512,73.54,71.96,191,91,47.64,6.69,232,149,64.22,8.12,475,385,81.05,16.63,1032,789,76.45,36.12,4,0,0,0.14,3,0,0,0.11,71,61,85.92,2.49,0,0,0,0
CSP,Georgia,2019,3625,2724,75.14,454,198,43.61,12.52,317,192,60.57,8.74,1081,941,87.05,29.82,1567,1232,78.62,43.23,4,0,0,0.11,11,10,90.91,0.3,148,116,78.38,4.08,0,0,0,0,1085,779,71.8,29.93,175,70,40,4.83,97,52,53.61,2.68,385,335,87.01,10.62,371,276,74.39,10.23,0,0,0,0,2,0,0,0.06,40,30,75,1.1,0,0,0,0,2540,1945,76.57,70.07,279,128,45.88,7.7,220,140,63.64,6.07,696,606,87.07,19.2,1196,956,79.93,32.99,4,0,0,0.11,9,8,88.89,0.25,108,86,79.63,2.98,0,0,0,0
CSP,Florida,2017,4829,3241,67.12,459,174,37.91,9.51,1482,906,61.13,30.69,472,360,76.27,9.77,2133,1626,76.23,44.17,5,2,40,0.1,12,6,50,0.25,193,132,68.39,4,0,0,0,0,1305,818,62.68,27.02,148,45,30.41,3.06,416,220,52.88,8.61,134,108,80.6,2.77,518,388,74.9,10.73,1,0,0,0.02,6,2,33.33,0.12,62,47,75.81,1.28,0,0,0,0,3524,2423,68.76,72.98,311,129,41.48,6.44,1066,686,64.35,22.07,338,252,74.56,7,1615,1238,76.66,33.44,4,0,0,0.08,6,4,66.67,0.12,131,85,64.89,2.71,0,0,0,0
CSP,Florida,2018,7972,4954,62.14,866,267,30.83,10.86,2651,1552,58.54,33.25,840,631,75.12,10.54,3108,2211,71.14,38.99,10,4,40,0.13,16,10,62.5,0.2,320,203,63.44,4.01,0,0,0,0,2383,1372,57.57,29.89,366,92,25.14,4.59,801,435,54.31,10.05,265,196,73.96,3.32,809,566,69.96,10.15,2,0,0,0.03,9,6,66.67,0.11,85,57,67.06,1.07,0,0,0,0,5589,3582,64.09,70.11,500,175,35,6.27,1850,1117,60.38,23.21,575,435,75.65,7.21,2299,1645,71.55,28.84,8,3,37.5,0.1,7,4,57.14,0.09,235,146,62.13,2.95,0,0,0,0
CSP,Florida,2019,9754,6173,63.29,888,353,39.75,9.1,3427,2015,58.8,35.13,1102,843,76.5,11.3,3732,2603,69.75,38.26,10,4,40,0.1,23,10,43.48,0.24,395,258,65.32,4.05,0,0,0,0,3019,1885,62.44,30.95,343,132,38.48,3.52,1056,614,58.14,10.83,389,306,78.66,3.99,1057,731,69.16,10.84,3,0,0,0.03,7,4,57.14,0.07,110,76,69.09,1.13,0,0,0,0,6735,4288,63.67,69.05,545,221,40.55,5.59,2371,1401,59.09,24.31,713,537,75.32,7.31,2675,1872,69.98,27.42,7,4,57.14,0.07,16,6,37.5,0.16,285,182,63.86,2.92,0,0,0,0
CSP,DC,2017,94,60,63.83,31,13,41.94,32.98,14,9,64.29,14.89,7,4,57.14,7.45,33,29,87.88,35.11,0,0,0,0,0,0,0,0,4,0,0,4.26,0,0,0,0,37,25,67.57,39.36,12,5,41.67,12.77,5,3,60,5.32,2,0,0,2.13,14,13,92.86,14.89,0,0,0,0,0,0,0,0,2,0,0,2.13,0,0,0,0,57,35,61.4,60.64,19,8,42.11,20.21,9,6,66.67,9.57,5,2,40,5.32,19,16,84.21,20.21,0,0,0,0,0,0,0,0,2,0,0,2.13,0,0,0,0
CSP,DC,2018,168,79,47.02,83,23,27.71,49.4,24,14,58.33,14.29,9,5,55.56,5.36,29,25,86.21,17.26,0,0,0,0,0,0,0,0,11,6,54.55,6.55,0,0,0,0,79,32,40.51,47.02,41,10,24.39,24.4,17,9,52.94,10.12,1,0,0,0.6,10,8,80,5.95,0,0,0,0,0,0,0,0,8,5,62.5,4.76,0,0,0,0,89,47,52.81,52.98,42,13,30.95,25,7,5,71.43,4.17,8,5,62.5,4.76,19,17,89.47,11.31,0,0,0,0,0,0,0,0,3,0,0,1.79,0,0,0,0
CSP,DC,2019,196,76,38.78,105,22,20.95,53.57,27,10,37.04,13.78,6,4,66.67,3.06,31,28,90.32,15.82,0,0,0,0,4,0,0,2.04,16,10,62.5,8.16,0,0,0,0,104,40,38.46,53.06,53,13,24.53,27.04,15,6,40,7.65,2,0,0,1.02,14,12,85.71,7.14,0,0,0,0,3,0,0,1.53,13,7,53.85,6.63,0,0,0,0,92,36,39.13,46.94,52,9,17.31,26.53,12,4,33.33,6.12,4,0,0,2.04,17,16,94.12,8.67,0,0,0,0,1,0,0,0.51,3,0,0,1.53,0,0,0,0
